2019-10-30 17:16:46.688[main]INFO  com.zhixin.wolf.main.Map2DServicesApplication -Starting Map2DServicesApplication on DESKTOP-AFF7SD3 with PID 38900 (started by wolf in D:\item\2D效果\map-2D-client)
2019-10-30 17:16:46.693[main]INFO  com.zhixin.wolf.main.Map2DServicesApplication -No active profile set, falling back to default profiles: default
2019-10-30 17:16:46.878[main]INFO  o.s.b.c.e.AnnotationConfigEmbeddedWebApplicationContext -Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@6dd2c810: startup date [Wed Oct 30 17:16:46 CST 2019]; root of context hierarchy
2019-10-30 17:16:48.208[background-preinit]INFO  org.hibernate.validator.internal.util.Version -HV000001: Hibernate Validator 5.3.5.Final
2019-10-30 17:16:50.393[main]INFO  o.s.b.c.e.tomcat.TomcatEmbeddedServletContainer -Tomcat initialized with port(s): 8080 (http)
2019-10-30 17:16:50.410[main]INFO  org.apache.catalina.core.StandardService -Starting service [Tomcat]
2019-10-30 17:16:50.411[main]INFO  org.apache.catalina.core.StandardEngine -Starting Servlet Engine: Apache Tomcat/8.5.15
2019-10-30 17:16:50.593[localhost-startStop-1]INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] -Initializing Spring embedded WebApplicationContext
2019-10-30 17:16:50.594[localhost-startStop-1]INFO  org.springframework.web.context.ContextLoader -Root WebApplicationContext: initialization completed in 3716 ms
2019-10-30 17:16:50.905[localhost-startStop-1]INFO  o.s.boot.web.servlet.ServletRegistrationBean -Mapping servlet: 'dispatcherServlet' to [/]
2019-10-30 17:16:50.912[localhost-startStop-1]INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'characterEncodingFilter' to: [/*]
2019-10-30 17:16:50.913[localhost-startStop-1]INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2019-10-30 17:16:50.913[localhost-startStop-1]INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'httpPutFormContentFilter' to: [/*]
2019-10-30 17:16:50.914[localhost-startStop-1]INFO  o.s.boot.web.servlet.FilterRegistrationBean -Mapping filter: 'requestContextFilter' to: [/*]
2019-10-30 17:16:50.993[main]WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -Autowired annotation is not supported on static fields: private static java.lang.Integer com.zhixin.wolf.util.CoordinatesUtils.imgW
2019-10-30 17:16:50.993[main]WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -Autowired annotation is not supported on static fields: private static java.lang.Integer com.zhixin.wolf.util.CoordinatesUtils.imgH
2019-10-30 17:16:50.993[main]WARN  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor -Autowired annotation is not supported on static fields: private static java.lang.Integer com.zhixin.wolf.util.CoordinatesUtils.imgI
2019-10-30 17:16:50.999[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -================获取到定位配置信息start=======================
2019-10-30 17:16:50.999[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=1, roomName='入区大厅', leftTopX=99, leftTopY=635, leftDownX=86, leftDownY=780, rightTopX=218, rightTopY=626, rightDownX=184, rightDownY=774, centerX=150, centerY=700, mainNumR=2, mainNumC=4}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=2, roomName='人身安全检查室', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=468, centerY=526, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=3, roomName='候问室1', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=1932, centerY=58, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=4, roomName='候问走廊', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=1263, centerY=117, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=5, roomName='未成年人讯（询）问室', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=718, centerY=526, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=6, roomName='讯（询）问室1', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=808, centerY=720, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=7, roomName='讯（询）问室2', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=1172, centerY=737, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=8, roomName='讯（询）问室3', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=1415, centerY=691, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=9, roomName='嫌疑人卫生间', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=1150, centerY=43, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=10, roomName='东楼梯门口走廊', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=137, centerY=482, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=11, roomName='机房门口走廊', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=1287, centerY=542, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=12, roomName='西楼梯门口走廊', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=1174, centerY=367, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=13, roomName='监控室门口走廊', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=993, centerY=625, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=14, roomName='测谎室门口走廊', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=634, centerY=625, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.000[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=15, roomName='入区前台', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=163, centerY=561, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.001[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=17, roomName='衣帽间', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=268, centerY=673, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.001[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=16, roomName='物证保管室', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=553, centerY=513, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.001[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=19, roomName='值班室', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=454, centerY=717, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.001[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=18, roomName='值班室门口走廊', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=464, centerY=626, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.001[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=21, roomName='随身物品保管室', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=550, centerY=548, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.001[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=20, roomName='随身物品室', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=554, centerY=525, mainNumR=0, mainNumC=0}
2019-10-30 17:16:51.001[main]INFO  com.zhixin.wolf.util.CoordinatesUtils -{roomId=23, roomName='辨认室', leftTopX=0, leftTopY=0, leftDownX=0, leftDownY=0, rightTopX=0, rightTopY=0, rightDownX=0, rightDownY=0, centerX=625, centerY=718, mainNumR=0, mainNumC=0}
